ResponseID,ANX1,ANX2,ANX3,ANX4,ANX5,ANX6,ANX7,ANX8,ANX9,ANX10,SAT1,SAT2,SAT3,SAT4,SAT5,SAT6,SAT7,SAT8,SAT9,SAT10
R001,4,6,3,3,5,3,2,5,6,1,5,5,6,3,3,6,6,5,4,5
R002,5,6,5,4,4,3,1,1,5,2,5,5,4,4,4,5,5,5,5,5
R003,2,3,6,4,5,3,1,6,4,1,5,5,3,5,7,5,3,4,6,5
R004,3,5,4,3,4,4,1,3,2,2,6,5,5,2,6,4,3,5,4,5
R005,4,5,3,4,5,5,2,2,5,1,4,5,4,3,3,5,4,4,5,5
R006,7,3,5,3,4,5,2,5,4,1,3,5,3,3,4,4,5,4,5,5
R007,6,4,4,5,5,2,1,4,3,2,4,6,3,4,4,5,5,5,3,5
R008,4,5,4,4,2,4,2,4,4,2,7,5,5,6,4,5,4,4,4,5
R009,5,2,1,3,4,3,2,5,4,1,4,4,5,5,4,5,6,4,4,5
R010,4,5,4,5,6,3,2,5,4,1,3,2,3,5,6,5,5,4,5,5
R011,3,5,5,3,6,6,1,5,5,2,4,5,5,5,5,4,5,5,5,5
R012,3,3,3,2,7,4,1,4,7,1,6,4,7,7,5,4,4,5,5,5
R013,3,6,5,3,5,4,1,1,4,2,5,4,3,3,5,5,4,4,5,5
R014,4,5,3,3,4,3,1,5,5,1,5,4,3,5,4,4,4,5,5,5
R015,4,5,3,2,5,5,1,5,7,1,5,5,4,5,4,5,3,5,4,5
R016,2,4,3,4,3,3,1,3,5,1,5,6,3,6,4,4,6,4,4,5
R017,5,3,3,4,5,3,1,3,4,2,3,6,6,5,4,4,4,6,3,5
R018,4,4,2,4,3,3,1,5,5,1,4,6,4,6,4,5,5,6,4,5
R019,4,1,4,7,5,5,1,3,4,2,5,5,4,5,5,4,3,5,5,5
R020,4,3,3,3,2,6,1,2,5,2,3,4,5,4,4,4,5,4,3,5
R021,6,5,4,1,4,5,1,2,2,2,4,4,1,4,4,5,5,4,3,5
R022,4,3,4,3,6,2,1,4,4,2,5,4,3,5,5,3,6,6,5,5
R023,4,4,2,3,2,4,1,4,6,2,4,5,6,4,5,4,6,6,5,5
R024,5,6,5,4,4,7,1,6,4,2,6,4,6,5,2,4,5,6,6,5
R025,4,3,5,5,3,4,1,3,6,1,4,5,4,4,3,3,4,3,3,5
R026,5,4,4,4,6,4,1,5,4,2,4,5,3,5,5,5,4,5,4,5
R027,4,2,5,2,2,4,1,4,5,2,6,5,4,4,4,5,5,4,5,5
R028,4,5,4,3,2,3,1,3,3,1,3,3,5,5,4,4,4,5,3,5
R029,5,5,6,4,7,4,1,4,4,2,2,5,5,4,5,5,4,6,3,5
R030,4,3,5,2,3,3,1,5,4,1,4,5,6,4,5,4,4,4,4,5
R031,3,3,5,5,4,4,1,6,4,2,4,5,4,5,5,5,4,5,4,5
R032,2,3,2,3,4,5,2,3,5,2,5,5,4,3,3,5,5,5,6,5
R033,4,2,4,3,5,5,1,2,3,1,5,3,6,5,3,5,3,5,5,5
R034,3,5,5,4,4,3,2,5,3,2,4,7,4,5,6,3,4,4,4,5
R035,5,5,5,3,4,2,1,3,4,2,3,3,3,6,5,5,5,4,4,5
R036,4,4,4,4,3,4,1,4,5,2,4,4,6,5,5,4,4,4,5,5
R037,4,2,6,5,4,4,1,4,6,1,4,4,5,4,4,6,4,4,5,5
R038,3,6,5,4,5,5,7,4,3,1,4,6,5,6,5,4,3,4,4,5
R039,4,5,3,3,5,3,1,2,2,2,5,4,3,6,5,4,4,4,4,5
R040,5,4,3,2,5,5,1,7,3,1,4,4,4,5,4,4,6,4,4,5
R041,5,2,5,4,4,3,6,4,6,1,5,4,4,4,3,4,6,4,3,5
R042,3,4,5,3,4,5,2,4,3,1,6,4,3,6,5,2,4,3,5,5
R043,6,4,5,4,6,5,1,3,3,1,5,5,6,4,4,5,6,5,5,5
R044,3,4,4,3,2,4,1,4,6,1,3,5,6,4,4,4,4,6,5,5
R045,3,5,5,3,3,3,1,5,4,1,4,5,5,4,6,4,4,4,5,5
R046,6,3,2,5,3,3,1,4,4,2,5,6,4,4,4,7,6,4,5,5
R047,5,3,3,3,3,3,1,4,4,2,3,4,5,6,5,4,7,6,5,5
R048,5,3,4,4,4,3,1,3,5,2,6,6,3,4,6,6,7,6,5,5
R049,3,4,5,3,4,4,2,4,4,2,4,4,5,4,3,4,6,4,3,5
R050,5,2,5,3,5,4,6,4,2,1,3,4,5,6,5,3,3,3,4,5
R051,4,5,3,3,3,4,1,2,4,2,5,7,4,5,5,4,6,5,5,5
R052,2,5,5,3,4,4,1,3,4,2,6,5,5,4,4,5,5,5,4,5
R053,3,5,6,4,6,4,1,3,1,2,5,6,4,4,4,4,4,5,4,5
R054,2,4,6,3,3,4,1,3,6,2,6,3,5,5,3,5,5,3,4,5
R055,5,4,4,4,3,4,2,1,4,1,5,5,7,4,4,5,5,5,7,5
R056,5,3,7,6,4,4,1,5,2,2,4,4,6,4,2,5,3,3,4,5
R057,3,6,5,3,3,2,1,4,3,2,4,4,5,4,5,6,4,5,3,5
R058,4,2,4,5,3,3,1,3,6,2,5,6,4,7,4,5,3,4,3,5
R059,4,2,4,7,3,3,1,4,5,2,5,4,4,6,5,5,6,6,5,5
R060,3,4,3,4,4,1,1,4,4,1,4,5,4,5,4,6,7,5,4,5
R061,5,4,4,6,3,6,2,4,4,1,4,5,4,4,5,5,6,5,4,5
R062,3,7,4,2,7,3,1,4,1,2,6,5,3,4,6,3,7,5,5,5
R063,2,5,4,5,3,4,1,3,4,2,6,7,5,3,4,4,5,5,5,5
R064,3,5,4,4,4,3,1,4,5,2,6,5,5,3,3,5,5,5,4,5
R065,4,3,1,5,6,3,1,4,3,2,7,4,3,4,4,3,4,3,6,5
R066,3,3,5,3,4,3,1,5,5,1,6,6,5,4,5,5,4,5,6,5
R067,5,3,2,4,4,5,1,4,3,2,2,6,5,4,4,3,5,6,6,5
R068,4,5,4,3,2,4,2,3,5,1,6,4,5,3,4,6,3,5,5,5
R069,2,5,4,4,5,4,2,5,2,2,4,5,5,7,6,3,3,5,5,5
R070,4,5,4,2,5,5,1,4,4,2,5,6,5,6,3,5,4,4,5,5
R071,2,3,3,4,4,5,1,3,2,1,3,4,6,3,5,2,4,5,5,5
R072,6,2,5,3,3,3,1,3,2,1,5,3,6,6,5,5,2,4,3,5
R073,3,4,5,3,3,4,1,5,3,1,5,4,6,4,4,4,6,3,6,5
R074,3,5,5,5,4,4,2,5,4,1,5,4,4,6,7,5,7,5,5,5
R075,4,4,3,1,5,6,1,4,4,1,3,6,4,6,5,3,6,6,5,5
R076,3,5,5,3,4,4,1,3,3,1,5,5,5,4,5,4,4,3,5,5
R077,3,5,3,3,1,2,1,7,3,1,5,5,5,5,5,5,5,6,5,5
R078,4,6,4,4,2,6,1,6,4,1,4,3,4,7,6,5,5,5,4,5
R079,2,5,3,5,3,2,1,5,5,2,6,4,6,4,5,4,4,2,5,5
R080,5,2,5,4,5,6,2,5,5,2,5,5,4,5,4,5,3,4,5,5
R081,2,3,3,3,2,4,1,4,4,1,4,4,5,2,3,4,4,5,4,5
R082,2,4,5,5,4,4,1,5,6,1,4,5,5,4,4,6,5,6,4,5
R083,4,6,2,5,4,4,1,4,4,2,5,3,4,4,5,5,4,4,4,5
R084,1,3,2,4,4,4,1,4,7,2,3,7,4,5,5,6,5,4,4,5
R085,4,4,4,5,5,5,1,3,6,1,3,6,4,4,5,4,5,6,6,5
R086,3,4,4,4,5,4,1,4,3,2,5,4,6,4,4,7,4,6,5,5
R087,4,5,6,3,4,2,2,3,3,1,3,6,3,5,5,3,4,4,4,5
R088,4,4,4,6,2,4,2,5,4,1,7,4,5,5,3,3,3,4,6,5
R089,5,4,5,4,5,4,7,4,5,1,5,5,5,6,4,6,5,5,4,5
R090,3,2,3,3,5,4,2,7,3,2,5,4,3,2,5,5,4,5,1,5
R091,5,4,4,3,3,5,1,3,5,1,6,6,4,3,4,3,4,4,3,5
R092,4,5,3,4,3,5,1,4,4,1,5,5,5,4,6,7,6,6,4,5
R093,3,5,4,4,6,5,6,6,6,1,4,6,5,6,5,4,4,5,6,5
R094,4,4,4,4,3,4,1,3,3,1,4,5,6,5,3,4,6,4,5,5
R095,3,5,3,3,5,3,2,5,4,1,5,2,4,5,4,5,6,3,4,5
R096,3,5,5,4,4,3,1,3,3,1,4,4,5,3,4,3,5,4,5,5
R097,3,4,5,6,5,4,2,4,5,1,3,5,4,5,4,5,5,5,4,5
R098,4,5,2,4,4,3,1,4,7,1,5,4,3,6,5,4,5,6,4,5
R099,4,5,2,5,5,5,1,4,5,1,6,4,3,5,5,4,4,3,6,5
R100,1,3,3,4,2,5,1,6,5,2,3,6,5,4,5,6,7,6,6,5
