StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,POSQ01,POSQ02,POSQ03,POSQ04,POSQ05,POSQ06,POSQ07,POSQ08,POSQ09,POSQ10,STALQ01,STALQ02,STALQ03,STALQ04,STALQ05,STALQ06,STALQ07,STALQ08,STALQ09,STALQ10,TUCKQ01,TUCKQ02,TUCKQ03,TUCKQ04,TUCKQ05,TUCKQ06,TUCKQ07,TUCKQ08,TUCKQ09,TUCKQ10,COLEQ01,COLEQ02,COLEQ03,COLEQ04,COLEQ05,COLEQ06,COLEQ07,COLEQ08,COLEQ09,COLEQ10,ATTN,BURDQ01,BURDQ02,BURDQ03,BURDQ04,BURDQ05,BURDQ06,BURDQ07,BURDQ08,BURDQ09,BURDQ10,RESILQ01,RESILQ02,RESILQ03,RESILQ04,RESILQ05,RESILQ06,RESILQ07,RESILQ08,RESILQ09,RESILQ10,JSATQ01,JSATQ02,JSATQ03,JSATQ04,JSATQ05,JSATQ06,JSATQ07,JSATQ08,JSATQ09,JSATQ10,BIASQ01,BIASQ02,BIASQ03,BIASQ04,BIASQ05,BIASQ06,BIASQ07,BIASQ08,BIASQ09,BIASQ10,RUSSQ01,RUSSQ02,RUSSQ03,RUSSQ04,RUSSQ05,RUSSQ06,RUSSQ07,RUSSQ08,RUSSQ09,RUSSQ10,TURNQ01,TURNQ02,TURNQ03,TURNQ04,TURNQ05,TURNQ06,LEADQ01,LEADQ02,LEADQ03,LEADQ04,LEADQ05,LEADQ06,LEADQ07,LEADQ08,LEADQ09,LEADQ10,MOTIVQ01,MOTIVQ02,MOTIVQ03,MOTIVQ04,MOTIVQ05,MOTIVQ06,MOTIVQ07,MOTIVQ08,MOTIVQ09,MOTIVQ10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I feel that my organization values my contributions to its success,I feel that my well-being is a priority for my organization,I feel that my organization provides meaningful support when I face personal difficulties,I feel that my organization takes deliberate actions to show appreciation for my work,I feel emotionally supported by my organization,I feel that my mental health is taken seriously by my organization,I feel that my organization regularly acknowledges my hard work,I feel that my organization invests in my professional development,I feel that my organization values my opinions,I feel that my organization values me as a person beyond my job performance,I double-check my work to avoid mistakes that could affect others,I tend to put off unpleasant tasks,I make plans and stick to them,I gather enough information to make responsible decisions,"I consistently follow organizational procedures, even when no one is watching","I report issues when I see something wrong, even if it's uncomfortable",I pay attention to details,I avoid taking shortcuts that could harm others or the company,I create order and routines to stay on track with work responsibilities,I balance empathy with rules when making case decisions,I often delay starting an assignment even when I have ample time to complete it,I tend to wait until the last possible moment to begin a task,I postpone tasks I know will take a long time to complete,I often turn in work that reflects my full potential,I believe I could produce better results if I had started my tasks earlier,I tend to delay work because I perform better under pressure,I find it difficult to begin tasks unless there is an urgent deadline,I often utilize external reminders or deadlines to stay focused on tasks,I believe my procrastination affects the quality of my work,"I begin a task the day it's assigned, even if the due date is in the distant future",I feel emotionally drained by my work,My work leaves me feeling emotionally depleted,My work makes it difficult to maintain a positive emotional state,I find it difficult to recharge my emotional battery after a workday,I find it hard to be patient with others at work due to how emotionally worn out I feel,I am tired even before my workday begins,I feel like my work requires more emotional energy than what I have,The emotional demands of my work responsibilities are overwhelming,I dread going to work because of how emotionally draining it is,My emotional capacity to handle work-related issues feels diminished,"Please select the option ""Always""",My job inspires me and gives me a sense of purpose,I feel mentally and emotionally energized by my work,I am fully mentally focused and absorbed in my work,I feel a deep sense of pride in the work I do,"I feel a strong inner drive and energy to stay engaged in my work, even
during challenges",I feel emotionally committed to the purpose and impact of my work,I become so mentally immersed in my work that time passes quickly,I feel a strong personal connection to the meaning behind my work,My work makes me feel enthusiastic and mentally resilient,I feel emotionally fulfilled when I am fully engaged in my work,Emotionally disengaged or mentally checked out while at work,Communicated in a way that may have seemed rude or unprofessional to others,Worked additional hours to manage unexpected challenges or workload changes,Avoided tasks I found stressful or overwhelming,Did not give full effort to a task or assignment,I took more breaks than usual to manage stress or maintain focus,Asked for help or assistance,"Used time or task management strategies (e.g., calendar blocking, to-do lists) to stay on
track",Consulted with a supervisor to clarify expectations or manage a work challenge,Set daily goals,I feel my job allows me to use my skills and abilities,I feel that I am compensated adequately for the work that I do,I feel that I have a fair chance at being promoted within the department,"I feel that my work environment supports my well being and
productivity",My supervisor provides helpful guidance,I am satisfied with the benefits offered by my job,I feel comfortable in my workspace,I have positive and respectful relationships with my coworkers,"My overall experience working in this department meets my
expectations",Collaborations with my colleagues is productive and effective,I believe that race plays a role in who gets promoted at my workplace,People of my racial background are given the same promotion opportunities as others,I have witnessed colleagues being promoted due to their race rather than performance,Promotion decisions in my organization are based solely on merit,I believe employees of certain racial backgrounds are consistently overlooked for promotion,My organization’s promotion decisions are made without regard to race,I worry that my race could limit my chances of being promoted,"Employees have equal access to advancement opportunities, regardless of race",Bias based on race exists when it comes to promotions at my workplace,I believe that race influences promotion decisions made by leadership,I feel energized while I’m working,I feel mentally and physically energized throughout the workday,I can stay focused on my work for extended periods,My work feels meaningful and purposeful,I am enthusiastic about my work,I feel inspired by the work that I do,I am proud of the work that I do,I stay focused and positive when facing challenges at work,I enjoy being deeply involved in my work,I am immersed in my work,I frequently think about quitting my job,I intend to stay with my current employer for the foreseeable future,I have searched online job boards or apps within the last month,I plan to start looking for a new job within the next 12 months,I have told friends or family that I might leave my current job,"If I could find a job with similar pay right now, I would take it",I enjoy taking on leadership roles,I feel a sense of satisfaction when leading,Leading others comes naturally to me,I consider myself a leader,I look for opportunities to lead projects,It feels right for me to be in charge,Being a leader is an important part of who I am,I thrive in positions where I can direct others,I am enthusiastic about taking the lead in new situations,I find personal joy in guiding a team to achieve its goals,I enjoy my work even when I do not get anything extra for doing it,"I feel satisfied while doing my job, not just when it is done",I look forward to going to work because the tasks are interesting,I get caught up in my work because I like doing it,I feel proud when I push through tough tasks because I enjoy the challenge,I do my job because I actually like the work itself,I feel motivated when I get to learn new things at work,I enjoy creative tasks at work,"I enjoy solving problems at work, even if no one sees it",I keep working on things because they feel meaningful to me
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID120""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID83""}","{""ImportId"":""QID82""}","{""ImportId"":""QID81""}","{""ImportId"":""QID80""}","{""ImportId"":""QID79""}","{""ImportId"":""QID78""}","{""ImportId"":""QID77""}","{""ImportId"":""QID76""}","{""ImportId"":""QID75""}","{""ImportId"":""QID84""}","{""ImportId"":""QID93""}","{""ImportId"":""QID92""}","{""ImportId"":""QID91""}","{""ImportId"":""QID90""}","{""ImportId"":""QID89""}","{""ImportId"":""QID88""}","{""ImportId"":""QID87""}","{""ImportId"":""QID86""}","{""ImportId"":""QID85""}","{""ImportId"":""QID94""}","{""ImportId"":""QID99""}","{""ImportId"":""QID98""}","{""ImportId"":""QID97""}","{""ImportId"":""QID96""}","{""ImportId"":""QID95""}","{""ImportId"":""QID100""}","{""ImportId"":""QID109""}","{""ImportId"":""QID108""}","{""ImportId"":""QID107""}","{""ImportId"":""QID106""}","{""ImportId"":""QID105""}","{""ImportId"":""QID104""}","{""ImportId"":""QID103""}","{""ImportId"":""QID102""}","{""ImportId"":""QID101""}","{""ImportId"":""QID110""}","{""ImportId"":""QID119""}","{""ImportId"":""QID118""}","{""ImportId"":""QID117""}","{""ImportId"":""QID116""}","{""ImportId"":""QID115""}","{""ImportId"":""QID114""}","{""ImportId"":""QID113""}","{""ImportId"":""QID112""}","{""ImportId"":""QID111""}"
2025-06-16 13:50:46,2025-06-16 13:59:01,IP Address,*******,100,494,True,2025-06-16 13:59:01,R_3A6GAKzLSS5B9ND,*******,*******,*******,*******,*******,*******,anonymous,EN,Agree,Agree,Agree,Slightly agree,Agree,Slightly disagree,Slightly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Rarely true,Sometimes but infrequently true,Rarely true,Rarely true,Never true,Sometimes but infrequently true,Rarely true,Sometimes but infrequently true,Never true,Rarely true,Always,Often,Often,Often,Always,Often,Always,Often,Often,Sometimes,Sometimes,Rarely,Rarely,Often,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Often,Rarely,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Neutral,Somewhat disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree
2025-06-16 14:55:20,2025-06-16 15:13:07,IP Address,*******,100,1067,True,2025-06-16 15:13:07,R_5iUt9JmbILUWOiu,*******,*******,*******,*******,*******,*******,anonymous,EN,Agree,Disagree,Slightly disagree,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Agree,Slightly disagree,Agree,Strongly agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Sometimes true,Rarely true,Sometimes but infrequently true,Sometimes true,Rarely true,Sometimes true,Sometimes but infrequently true,Sometimes true,Neutral,Rarely true,Always,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Often,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Somewhat agree,Disagree,Somewhat agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree
